"","Gene","RE22","BAA_450"
"1763","Inner membrane protein translocase and chaperone YidC, long form",1,1
"1764","Ribonuclease P protein component (EC 3.1.26.5)",1,1
"1765","LSU ribosomal protein L34p",1,1
"1766","Probable amino-acid import ATP-binding protein YxeO",1,1
"1767","Probable amino-acid permease protein YxeN",1,1
"1768","Probable amino-acid-binding protein YxeM",1,1
"1769","FIG01200723: hypothetical protein",1,1
"1770","Chromosomal replication initiator protein DnaA",1,1
"1771","DNA polymerase III beta subunit (EC 2.7.7.7)",1,1
"1772","DNA recombination and repair protein RecF",1,1
"1773","DNA gyrase subunit B (EC 5.99.1.3)",1,1
"1774","16 kDa heat shock protein A",1,1
"1775","Valine--pyruvate aminotransferase (EC 2.6.1.66)",1,1
"1776","Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)",1,1
"1777","Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)",1,1
"1778","NADH dehydrogenase subunit II-related protein",1,1
"1779","tRNA 5-methylaminomethyl-2-thiouridine synthesis sulfur carrier protein TusA",1,1
"1780","Acryloyl-CoA reductase AcuI/YhdH (EC 1.3.1.84)",1,1
"1781","Threonine dehydratase biosynthetic (EC 4.3.1.19)",1,1
"1782","Dihydroxy-acid dehydratase (EC 4.2.1.9)",1,1
"1783","Branched-chain amino acid aminotransferase (EC 2.6.1.42)",1,1
"1784","Acetolactate synthase small subunit (EC 2.2.1.6)",1,1
"1785","Acetolactate synthase large subunit (EC 2.2.1.6)",1,1
"1786","AAA+ ATPase superfamily protein YifB/ComM, associated with DNA recombination",1,1
"1787","FIG01200359: hypothetical protein",1,1
"1788","Probable acyltransferase YihG",1,1
"1789","YihE protein, a ser/thr kinase implicated in LPS synthesis and Cpx signalling",1,1
"1790","Type cbb3 cytochrome oxidase biogenesis protein CcoG, involved in Cu oxidation",1,1
"1791","Protein YihD",1,1
"1792","FIG01201134: hypothetical protein",1,1
"1793","Transcriptional regulator",1,1
"1794","FIG01964566: Predicted membrane protein, hemolysin III homolog",1,1
"1795","FIG01199830: hypothetical protein",1,1
"1796","Trk potassium uptake system protein TrkA",1,1
"1797","16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176)",1,1
"1798","Methionyl-tRNA formyltransferase (EC 2.1.2.9)",1,1
"1799","Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake",1,1
"1800","Protein of unknown function Smg",1,1
"1801","Uncharacterized protein YrdD",1,1
"1802","N5-carboxyaminoimidazole ribonucleotide synthase (EC 6.3.4.18)",1,1
"1803","N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18)",1,1
"1804","Threonylcarbamoyl-AMP synthase (EC 2.7.7.87)",1,1
"1805","Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)",1,1
"1806","Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)",1,1
"1807","FIG01199611: hypothetical protein",1,1
"1808","Protein YrdA",1,1
"1809","c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeI",1,1
"1810","Nitrogen regulation protein NR(I), GlnG (=NtrC)",1,1
"1811","Nitrogen regulation protein NtrB (EC 2.7.13.3)",1,1
"1812","Glutamine synthetase type I (EC 6.3.1.2)",1,1
"1813","GTP-binding protein TypA/BipA",1,1
"1814","Inner membrane protein YihY, formerly thought to be RNase BN",1,1
"1815","D-aminoacyl-tRNA deacylase (EC 3.1.1.96)",1,1
"1816","Uncharacterized GNAT family acetyltransferase YiiD",1,1
"1817","Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)",1,1
"1818","33 kDa chaperonin HslO",1,1
"1819","Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)",1,1
"1820","General secretion pathway protein C",1,1
"1821","General secretion pathway protein D",1,1
"1822","General secretion pathway protein E",1,1
"1823","General secretion pathway protein F",1,1
"1824","General secretion pathway protein G",1,1
"1825","General secretion pathway protein H",1,1
"1826","General secretion pathway protein I",1,1
"1827","General secretion pathway protein J",1,1
"1828","General secretion pathway protein K",1,1
"1829","General secretion pathway protein L",1,1
"1830","General secretion pathway protein M",1,1
"1831","General secretion pathway protein N",1,1
"1832","Osmolarity sensory histidine kinase EnvZ",1,1
"1833","Two-component system response regulator OmpR",1,1
"1834","Transcription elongation factor GreB",1,1
"1835","Transcription accessory protein (S1 RNA-binding domain)",1,1
"1836","Putative ATP-dependent Lon protease",1,1
"1837","Pimeloyl-[acyl-carrier protein] methyl ester esterase BioH (EC 3.1.1.85)",1,1
"1838","Competence protein F homolog, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy",1,1
"1839","[4Fe-4S] cluster carrier protein NfuA",1,1
"1840","ADP compounds hydrolase NudE",1,1
"1841","3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)",1,1
"1842","ATP-dependent DNA helicase RecG (EC 3.6.4.12)",1,1
"1843","tRNA (guanosine(18)-2'-O)-methyltransferase (EC 2.1.1.34)",1,1
"1844","Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II",1,1
"1845","DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)",1,1
"1846","Guanylate kinase (EC 2.7.4.8)",1,1
"1847","FIG006045: Sigma factor, ECF subfamily",1,1
"1848","Fe2+-dicitrate sensor, membrane component",1,1
"1849","TonB-dependent receptor",1,1
"1850","FIG107774: hypothetical protein",1,1
"1851","UPF0701 protein YicC",1,1
"1852","Ribonuclease PH (EC 2.7.7.56)",1,1
"1853","Orotate phosphoribosyltransferase (EC 2.4.2.10)",1,1
"1854","Lipid A biosynthesis myristoyltransferase (EC 2.3.1.243)",1,1
"1855","Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.241)",1,1
"1856","Transcriptional regulator SlmA, TetR family",1,1
"1857","Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)",1,1
"1858","UPF0758 family protein",1,1
"1859","LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-independent",1,1
"1860","LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-independent",1,1
"1861","FIG01200266: hypothetical protein",1,1
"1862","Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)",1,1
"1863","Phosphopantetheine adenylyltransferase (EC 2.7.7.3)",1,1
"1864","ADP-heptose--lipooligosaccharide heptosyltransferase II",1,1
"1865","Lipopolysaccharide biosynthesis glycosyltransferase",1,1
"1866","Lipopolysaccharide core heptosyltransferase I",1,1
"1867","3-deoxy-D-manno-octulosonic acid kinase (EC 2.7.1.166)",1,1
"1868","3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12)(EC 2.4.99.13)",1,1
"1869","Mannosyltransferase OCH1 and related enzymes",1,1
"1870","lipopolysaccharide biosynthesis protein, putative",1,1
"1871","transferase, hexapeptide repeat family",1,1
"1872","Glycosyl transferase, group 1",1,1
"1873","ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20)",1,1
"1874","UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336)",1,1
"1875","CDP-6-deoxy-delta-3,4-glucoseen reductase-like",1,0
"1876","Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33)",1,0
"1877","CDP-glucose 4,6-dehydratase (EC 4.2.1.45)",1,0
"1878","CDP-4-dehydro-6-deoxy-D-glucose 3-dehydratase (EC 4.2.1.-)",1,0
"1879","Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)",1,1
"1880","N-acetyl sugar amidotransferase WbpG",1,0
"1881","Similar to imidazole glycerol phosphate synthase cyclase subunit (LPS cluster)",1,0
"1882","putatve zinc-binding dehydrogenase",1,0
"1883","Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33)",1,1
"1884","CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)",1,1
"1885","Biotin operon repressor / Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)",1,1
"1886","UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)",1,1
"1887","Heat shock protein 10 kDa family chaperone GroES",1,1
"1888","Heat shock protein 60 kDa family chaperone GroEL",1,1
"1889","Fructose-1,6-bisphosphatase, GlpX type (EC 3.1.3.11)",1,1
"1890","Cell division protein ZapB",1,1
"1891","5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)",1,1
"1892","Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)",1,1
"1893","Cystathionine gamma-synthase (EC 2.5.1.48)",1,1
"1894","Methionine repressor MetJ",1,1
"1895","NADP-dependent malic enzyme (EC 1.1.1.40)",1,1
"1896","LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent",1,1
"1897","Helicase PriA essential for oriC/DnaA-independent DNA replication",1,1
"1898","Transcriptional (co)regulator CytR",1,1
"1899","Cell division protein FtsN",1,1
"1900","ATP-dependent protease subunit HslV (EC 3.4.25.2)",1,1
"1901","ATP-dependent hsl protease ATP-binding subunit HslU",1,1
"1902","Nitroreductase family protein",1,1
"1903","Fumarate reductase subunit D",1,1
"1904","Fumarate reductase subunit C",1,1
"1905","Fumarate reductase iron-sulfur protein (EC 1.3.5.4)",1,1
"1906","Fumarate reductase flavoprotein subunit (EC 1.3.5.4)",1,1
"1907","Translation elongation factor P Lys34--(R)-beta-lysine ligase",1,1
"1908","Putative outer membrane lipoprotein YmcA",1,1
"1909","YjbG polysaccharide synthesis-related protein",1,1
"1910","Uncharacterized lipoprotein YmcC precursor",1,1
"1911","Capsule polysaccharide export protein",1,1
"1912","lipopolysaccharide biosynthesis",1,1
"1913","Rhodanese-related sulfurtransferase YibN",1,1
"1914","Protein-export protein SecB (maintains pre-export unfolded state)",1,1
"1915","Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)",1,1
"1916","Serine acetyltransferase (EC 2.3.1.30)",1,1
"1917","Transcriptional regulator, PadR family",1,1
"1918","Phosphoenolpyruvate carboxylase (EC 4.1.1.31)",1,1
"1919","Hypothetical protein VC0266 (sugar utilization related?)",1,1
"1920","D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)",1,1
"1921","Uncharacterized protein YjaG",1,1
"1922","CBS-domain-containing protein",1,1
"1923","DNA-binding protein HU-alpha",1,1
"1924","Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)",1,1
"1925","Phosphoribosylamine--glycine ligase (EC 6.3.4.13)",1,1
"1926","IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)",1,1
"1927","Transcriptional regulator ZntR, MerR family",1,1
"1928","DNA-binding protein Fis",1,1
"1929","tRNA-dihydrouridine synthase DusB",1,1
"1930","Ribosomal protein L11 methyltransferase",1,1
"1931","Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)",1,1
"1932","Biotin carboxyl carrier protein of acetyl-CoA carboxylase",1,1
"1933","3-dehydroquinate dehydratase II (EC 4.2.1.10)",1,1
"1934","Acetyl-CoA synthetase (EC 6.2.1.1)",1,1
"1935","3'-5' exonuclease domain similar to epsilon subunit of DNA polymerase III, PA3232-type",1,1
"1936","Predicted signal-transduction protein containing cAMP-binding and CBS domains",1,1
"1937","Probable 3-phenylpropionic acid transporter",1,1
"1938","Acetate permease ActP (cation/acetate symporter)",1,1
"1939","FIG152265: Sodium:solute symporter associated protein",1,1
"1940","Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)",1,1
"1941","Arginine pathway regulatory protein ArgR, repressor of arg regulon",1,1
"1942","Aspartate carbamoyltransferase regulatory chain (PyrI)",1,1
"1943","Aspartate carbamoyltransferase (EC 2.1.3.2)",1,1
"1944","Ornithine carbamoyltransferase (EC 2.1.3.3)",1,1
"1945","Carbamate kinase (EC 2.7.2.2)",1,1
"1946","Arginine deiminase (EC 3.5.3.6)",1,1
"1947","Anaerobic C4-dicarboxylate transporter DcuA",1,1
"1948","Aspartate ammonia-lyase (EC 4.3.1.1)",1,1
"1949","UPF0716 protein FxsA",1,1
"1950","Extracellular deoxyribonuclease Xds",1,1
"1951","Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)",1,1
"1952","Succinylornithine transaminase (EC 2.6.1.81)",1,1
"1953","Arginine N-succinyltransferase (EC 2.3.1.109)",1,1
"1954","Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.71)",1,1
"1955","FIG008480: zinc-binding hydrolase",1,1
"1956","Cyclic AMP receptor protein",1,1
"1957","Phosphoribulokinase homolog, function unknown",1,1
"1958","UPF0270 protein YheU",1,1
"1959","Putative esterase YheT functionally coupled to phosphoribulokinase homolog",1,1
"1960","FIG01200117: hypothetical protein",1,1
"1961","Bis-ABC ATPase YheS",1,1
"1962","Glutathione-regulated potassium-efflux system ancillary protein KefG",1,1
"1963","Glutathione-regulated potassium-efflux system protein KefB",1,1
"1964","Cytoplasmic protein, probably associated with glutathione-regulated potassium-efflux",1,1
"1965","FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (EC 5.2.1.8)",1,1
"1966","Isoaspartyl aminopeptidase (EC 3.4.19.5) @ Asp-X dipeptidase",1,1
"1967","Adenylosuccinate synthetase (EC 6.3.4.4)",1,1
"1968","Sodium-type flagellar protein MotX",1,1
"1969","Methylthioadenosine deaminase (EC 3.5.4.31)",1,1
"1970","3'-to-5' exoribonuclease RNase R",1,1
"1971","23S rRNA (guanosine(2251)-2'-O)-methyltransferase (EC 2.1.1.185)",1,1
"1972","SSU ribosomal protein S10p (S20e)",1,1
"1973","LSU ribosomal protein L3p (L3e)",1,1
"1974","LSU ribosomal protein L4p (L1e)",1,1
"1975","LSU ribosomal protein L23p (L23Ae)",1,1
"1976","LSU ribosomal protein L2p (L8e)",1,1
"1977","SSU ribosomal protein S19p (S15e)",1,1
"1978","LSU ribosomal protein L22p (L17e)",1,1
"1979","SSU ribosomal protein S3p (S3e)",1,1
"1980","LSU ribosomal protein L16p (L10e)",1,1
"1981","LSU ribosomal protein L29p (L35e)",1,1
"1982","SSU ribosomal protein S17p (S11e)",1,1
"1983","LSU ribosomal protein L14p (L23e)",1,1
"1984","LSU ribosomal protein L24p (L26e)",1,1
"1985","LSU ribosomal protein L5p (L11e)",1,1
"1986","SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-independent",1,1
"1987","SSU ribosomal protein S8p (S15Ae)",1,1
"1988","LSU ribosomal protein L6p (L9e)",1,1
"1989","LSU ribosomal protein L18p (L5e)",1,1
"1990","SSU ribosomal protein S5p (S2e)",1,1
"1991","LSU ribosomal protein L30p (L7e)",1,1
"1992","LSU ribosomal protein L15p (L27Ae)",1,1
"1993","Protein translocase subunit SecY",1,1
"1994","LSU ribosomal protein L36p @ LSU ribosomal protein L36p, zinc-dependent",1,1
"1995","SSU ribosomal protein S13p (S18e)",1,1
"1996","SSU ribosomal protein S11p (S14e)",1,1
"1997","SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-independent",1,1
"1998","DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)",1,1
"1999","LSU ribosomal protein L17p",1,1
"2000","FIG01200078: hypothetical protein",1,1
"2001","FKBP-type peptidyl-prolyl cis-trans isomerase FklB (EC 5.2.1.8)",1,1
"2002","Putative cell envelope opacity-associated protein A",1,1
"2003","FIG01289198: hypothetical protein",1,1
"2004","N-acetyltransferase ElaA",1,1
"2005","cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases",1,1
"2006","2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) / 3'-nucleotidase (EC 3.1.3.6)",1,1
"2007","Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)",1,1
"2008","Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)",1,1
"2009","Sulfate permease, Trk-type",1,1
"2010","Adenylylsulfate kinase (EC 2.7.1.25)",1,1
"2011","Chemotaxis protein CheX",1,1
"2012","Zinc uptake regulation protein Zur",1,1
"2013","Response regulator c-di-GMP phosphodiesterase, RpfG family",1,1
"2014","FIG01201836: hypothetical protein",1,0
"2015","tRNA-dihydrouridine(20/20a) synthase (EC 1.3.1.91)",1,1
"2016","Phage shock protein G",1,1
"2017","ABC-type Fe3+-hydroxamate transport system, periplasmic component",1,1
"2018","Thymidylate kinase",1,1
"2019","Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)",1,1
"2020","Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)",1,1
"2021","Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8)",1,1
"2022","Na+/H+ antiporter, NhaP family",1,1
"2023","5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)",1,1
"2024","Mg/Co/Ni transporter MgtE, CBS domain-containing",1,1
"2025","Phosphocarrier protein, nitrogen regulation associated",1,1
"2026","RNase adapter protein RapZ",1,1
"2027","PTS IIA-like nitrogen-regulatory protein PtsN",1,1
"2028","Ribosome hibernation promoting factor Hpf",1,1
"2029","RNA polymerase sigma-54 factor RpoN",1,1
"2030","Lipopolysaccharide ABC transporter, ATP-binding protein LptB",1,1
"2031","Lipopolysaccharide export system protein LptA",1,1
"2032","Lipopolysaccharide export system protein LptC",1,1
"2033","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)",1,1
"2034","D-arabinose-5-phosphate isomerase (EC 5.3.1.13)",1,1
"2035","Inner membrane protein YrbG, predicted calcium/sodium:proton antiporter",1,1
"2036","Phospholipid ABC transporter ATP-binding protein MlaF",1,1
"2037","Phospholipid ABC transporter permease protein MlaE",1,1
"2038","Phospholipid ABC transporter substrate-binding protein MlaD",1,1
"2039","Phospholipid ABC transporter shuttle protein MlaC",1,1
"2040","Phospholipid ABC transporter-binding protein MlaB",1,1
"2041","Acid stress protein IbaG",1,1
"2042","UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)",1,1
"2043","Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51) @ Acyl-ACP:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.n4)",1,1
"2044","Ribonuclease E inhibitor RraB",1,1
"2045","Beta-galactosidase/beta-glucuronidase",1,1
"2046","Uncharacterized membrane protein SO_4740 / Uncharacterized membrane protein SO_4740",1,1
"2047","Universal stress protein family 3",1,1
"2048","Malate dehydrogenase (EC 1.1.1.37)",1,1
"2049","FIG01200262: hypothetical protein",1,1
"2050","2-iminobutanoate/2-iminopropanoate deaminase RidA/TdcF (EC 3.5.99.10)",1,1
"2051","Predicted ATPase related to phosphate starvation-inducible protein PhoH",1,1
"2052","RNA polymerase associated protein RapA",1,1
"2053","Putative manganese transporter",1,1
"2054","LSU rRNA pseudouridine(746) synthase (EC 5.4.99.29) @ tRNA pseudouridine(32) synthase (EC 5.4.99.28)",1,1
"2055","Hydroxypyruvate reductase (EC 1.1.1.81)",1,1
"2056","FIG018993: membrane protein",1,1
"2057","Zn-dependent protease with chaperone function",1,1
"2058","Valyl-tRNA synthetase (EC 6.1.1.9)",1,1
"2059","DNA polymerase III chi subunit (EC 2.7.7.7)",1,1
"2060","Cytosol aminopeptidase PepA (EC 3.4.11.1)",1,1
"2061","Lipopolysaccharide export system permease protein LptF",1,1
"2062","Lipopolysaccharide export system permease protein LptG",1,1
"2063","DNA mismatch repair protein MutS",1,1
"2064","Nicotinamide-nucleotide amidase (EC 3.5.1.42)",1,1
"2065","RecA protein",1,1
"2066","Regulatory protein RecX",1,1
"2067","Alanyl-tRNA synthetase (EC 6.1.1.7)",1,1
"2068","Carbon storage regulator",1,1
"2069","tRNA-Ser-GCT",1,1
"2070","tRNA-Arg-ACG",1,1
"2071","Oxaloacetate decarboxylase Na(+) pump, gamma chain (EC 4.1.1.3)",1,1
"2072","Oxaloacetate decarboxylase Na(+) pump, alpha chain (EC 4.1.1.3)",1,1
"2073","Oxaloacetate decarboxylase Na(+) pump, beta chain (EC 4.1.1.3)",1,1
"2074","NADPH:quinone reductase",1,1
"2075","putative membrane protein",1,1
"2076","FIG015547: peptidase, M16 family / FIG015287: Zinc protease",1,1
"2077","Glutamate--cysteine ligase (EC 6.3.2.2)",1,1
"2078","FIG01200315: hypothetical protein",1,1
"2079","S-ribosylhomocysteine lyase (EC 4.4.1.21) @ Autoinducer-2 production protein LuxS",1,1
"2080","FIG023103: Predicted transmembrane protein",1,1
"2081","tRNA-Leu-CAA",1,1
"2082","PhnB protein; putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein",1,1
"2083","HD-GYP domain",1,1
"2084","Uncharacterized protein DUF547",1,1
"2085","3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)",1,1
"2086","3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)",1,1
"2087","3-isopropylmalate dehydrogenase (EC 1.1.1.85)",1,1
"2088","2-isopropylmalate synthase (EC 2.3.3.13)",1,1
"2089","putative membrane-associated phospholipid phosphatase, PAP2 superfamily",1,1
"2090","Glycosyltransferase",1,1
"2091","Probable transcriptional activator for leuABCD operon",1,1
"2092","Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46) periplasmic (secreted in GramPositives)",1,1
"2093","Glycerol-3-phosphate transporter",1,1
"2094","Ribose-5-phosphate isomerase A (EC 5.3.1.6)",1,1
"2095","5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)",1,1
"2096","Z-ring-associated protein ZapA",1,1
"2097","FIG001590: Putative conserved exported protein precursor",1,1
"2098","2-polyprenyl-6-methoxyphenol hydroxylase",1,1
"2099","2-polyprenylphenol hydroxylase",1,1
"2100","Uncharacterized protein VC2473",1,1
"2101","YbaK family protein P3TCK_24851",1,1
"2102","tRNA-modifying protein YgfZ",1,1
"2103","Succinate dehydrogenase flavin-adding protein, antitoxin of CptAB toxin-antitoxin",1,1
"2104","L-aspartate oxidase (EC 1.4.3.16)",1,1
"2105","RNA polymerase sigma factor RpoE",1,1
"2106","Sigma factor RpoE negative regulatory protein RseA",1,1
"2107","Sigma factor RpoE negative regulatory protein RseB precursor",1,1
"2108","Sigma factor RpoE regulatory protein RseC",1,1
"2109","Translation elongation factor LepA",1,1
"2110","Signal peptidase I (EC 3.4.21.89)",1,1
"2111","Ribonuclease III (EC 3.1.26.3)",1,1
"2112","GTP-binding protein Era",1,1
"2113","DNA recombination and repair protein RecO",1,1
"2114","Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)",1,1
"2115","Holo-[acyl-carrier-protein] synthase (EC 2.7.8.7)",1,1
"2116","Signal transduction histidine-protein kinase BarA (EC 2.7.13.3)",1,1
"2117","23S rRNA (uracil(1939)-C(5))-methyltransferase (EC 2.1.1.190)",1,1
"2118","Inactive (p)ppGpp 3'-pyrophosphohydrolase domain / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I",1,1
"2119","Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)",1,1
"2120","CTP synthase (EC 6.3.4.2)",1,1
"2121","Enolase (EC 4.2.1.11)",1,1
"2122","CCA tRNA nucleotidyltransferase (EC 2.7.7.72)",1,1
"2123","General secretion pathway protein A",1,1
"2124","General secretion pathway protein B",1,1
"2125","Arylsulfatase (EC 3.1.6.1)",1,1
"2126","Probable low-affinity inorganic phosphate transporter",1,1
"2127","Phosphate transport regulator (distant homolog of PhoU)",1,1
"2128","Inorganic triphosphatase (EC 3.6.1.25)",1,1
"2129","cAMP-dependent Kef-type K+ transport system",1,1
"2130","Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) / Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42)",1,1
"2131","D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) / D-glycero-beta-D-manno-heptose-7-phosphate kinase (EC 2.7.1.167)",1,1
"2132","Aerobic respiration control response regulator ArcA",1,1
"2133","FIG01200289: hypothetical protein",1,1
"2134","FIG01199553: hypothetical protein",1,1
"2135","Homoserine kinase (EC 2.7.1.39)",1,1
"2136","Threonine synthase (EC 4.2.3.1)",1,1
"2137","UPF0126 inner membrane protein YadS",1,1
"2138","Vitamin B12 ABC transporter, substrate-binding protein BtuF",1,1
"2139","Adenosylcobinamide-phosphate synthase (EC 6.3.1.10)",1,1
"2140","5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)",1,1
"2141","SSU ribosomal protein S15p (S13e)",1,1
"2142","Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)",1,1
"2143","Lipoprotein NlpI",1,1
"2144","Transcriptional regulator, MarR family",1,1
"2145","Transcriptional regulator VpsR",1,1
"2146","FIG01199691: hypothetical protein",1,1
"2147","Tas protein, an NADP(H)-dependent aldo-keto reductase",1,1
"2148","FIG01199991: hypothetical protein",1,1
"2149","DNA mismatch repair endonuclease MutH",1,1
"2150","Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase",1,1
"2151","Phosphoenolpyruvate-protein phosphotransferase, nitrogen regulation associated",1,1
"2152","Uncharacterized UPF0721 integral membrane protein",1,1
"2153","Prolipoprotein diacylglyceryl transferase",1,1
"2154","Thymidylate synthase (EC 2.1.1.45)",1,1
"2155","Sodium-dependent phosphate transporter",1,1
"2156","Transcriptional activator NhaR",1,1
"2157","Transcriptional activator HlyU",1,1
"2158","SSU ribosomal protein S20p",1,1
"2159","Peptidoglycan lipid II flippase MurJ",1,1
"2160","FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)",1,1
"2161","Isoleucyl-tRNA synthetase (EC 6.1.1.5)",1,1
"2162","Lipoprotein signal peptidase (EC 3.4.23.36)",1,1
"2163","FKBP-type peptidyl-prolyl cis-trans isomerase SlpA (EC 5.2.1.8)",1,1
"2164","4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4)",1,1
"2165","Carbon starvation protein A",1,1
"2166","FIG01199685: hypothetical protein",1,1
"2167","N-acetylmuramic acid 6-phosphate etherase (EC 4.2.1.126)",1,1
"2168","Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170)",1,1
"2169","N-acetylglucosamine kinase of eukaryotic type (EC 2.7.1.59)",1,1
"2170","Sialic acid utilization regulator, RpiR family",1,1
"2171","Two-component transcriptional response regulator BtsR",1,1
"2172","Sensor histidine kinase BtsS",1,1
"2173","Chorismate mutase I (EC 5.4.99.5) / Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43)",1,1
"2174","FIG01200641: hypothetical protein",1,1
"2175","Energy-dependent translational throttle protein EttA",1,1
"2176","Soluble lytic murein transglycosylase (EC 4.2.2.n1)",1,1
"2177","Transcriptional repressor protein TrpR",1,1
"2178","Inosine/xanthosine triphosphatase",1,1
"2179","c-di-GMP phosphodiesterase (EC 3.1.4.52) => biofilm repressor MbaM",1,1
"2180","Predicted polyamine sensor NspS, involved in biofilm formation",1,1
"2181","Chorismate mutase I (EC 5.4.99.5) / Prephenate dehydratase (EC 4.2.1.51)",1,1
"2182","Ribosome-associated inhibitor A",1,1
"2183","Transglycosylase, Slt family",1,1
"2184","Outer membrane beta-barrel assembly protein BamD",1,1
"2185","LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23)",1,1
"2186","FIG00003370: Multicopper polyphenol oxidase",1,1
